Date,Player,Notes,Shoe Name,Points,Rebounds,Assists,Steals,Blocks,Minutes,Shoe Type
2019-12-19,patrick beverley,placed on IL with sprained right wrist,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with right groin injury,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with right groin injury,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with strained left calf,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with strained left calf,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with sore right knee,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with sore right knee,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with sore right knee,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with fractured left hand,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with left hand injury,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with strained left adductor,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with NBA health and safety protocols,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with right groin injury,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with sprained right ankle,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with sprained right ankle,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with sore right ankle,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with sore right ankle,adidas harden vol. 4,10,2,7,4,1,29,low
2019-12-19,patrick beverley,placed on IL with ear injury,adidas harden vol. 4,10,2,7,4,1,29,low
